Country,Year,Total Population,projection,totalPop,
European Total,1950,  549 329,0,549329,
European Total,1951,  554 325,0,554325,
European Total,1952,  559 694,0,559694,
European Total,1953,  565 282,0,565282,
European Total,1954,  570 970,0,570970,
European Total,1955,  576 679,0,576679,
European Total,1956,  582 371,0,582371,
European Total,1957,  588 048,0,588048,
European Total,1958,  593 743,0,593743,
European Total,1959,  599 513,0,599513,
European Total,1960,  605 407,0,605407,
European Total,1961,  611 434,0,611434,
European Total,1962,  617 536,0,617536,
European Total,1963,  623 575,0,623575,
European Total,1964,  629 367,0,629367,
European Total,1965,  634 783,0,634783,
European Total,1966,  639 762,0,639762,
European Total,1967,  644 345,0,644345,
European Total,1968,  648 636,0,648636,
European Total,1969,  652 790,0,652790,
European Total,1970,  656 919,0,656919,
European Total,1971,  661 056,0,661056,
European Total,1972,  665 164,0,665164,
European Total,1973,  669 208,0,669208,
European Total,1974,  673 132,0,673132,
European Total,1975,  676 895,0,676895,
European Total,1976,  680 498,0,680498,
European Total,1977,  683 960,0,683960,
European Total,1978,  687 286,0,687286,
European Total,1979,  690 485,0,690485,
European Total,1980,  693 567,0,693567,
European Total,1981,  696 513,0,696513,
European Total,1982,  699 330,0,699330,
European Total,1983,  702 070,0,702070,
European Total,1984,  704 807,0,704807,
European Total,1985,  707 584,0,707584,
European Total,1986,  710 422,0,710422,
European Total,1987,  713 279,0,713279,
European Total,1988,  716 057,0,716057,
European Total,1989,  718 617,0,718617,
European Total,1990,  720 858,0,720858,
European Total,1991,  722 776,0,722776,
European Total,1992,  724 390,0,724390,
European Total,1993,  725 657,0,725657,
European Total,1994,  726 529,0,726529,
European Total,1995,  726 994,0,726994,
European Total,1996,  727 020,0,727020,
European Total,1997,  726 669,0,726669,
European Total,1998,  726 142,0,726142,
European Total,1999,  725 705,0,725705,
European Total,2000,  725 558,0,725558,
European Total,2001,  725 772,0,725772,
European Total,2002,  726 312,0,726312,
European Total,2003,  727 134,0,727134,
European Total,2004,  728 150,0,728150,
European Total,2005,  729 288,0,729288,
European Total,2006,  730 547,0,730547,
European Total,2007,  731 939,0,731939,
European Total,2008,  733 416,0,733416,
European Total,2009,  734 923,0,734923,
European Total,2010,  736 413,0,736413,
European Total,2011,  737 851,0,737851,
European Total,2012,  739 225,0,739225,
European Total,2013,  740 542,0,740542,
European Total,2014,  741 818,0,741818,
European Total,2015,  743 059,0,743059,
European Total,2016,  744 269,0,744269,
European Total,2017,  745 415,0,745415,
European Total,2018,  746 419,0,746419,
European Total,2019,  747 183,0,747183,
European Total,2020,  747 636,0,747636,
Austria,1950,  6 936,0,6936,
Austria,1951,  6 931,0,6931,
Austria,1952,  6 931,0,6931,
Austria,1953,  6 935,0,6935,
Austria,1954,  6 943,0,6943,
Austria,1955,  6 953,0,6953,
Austria,1956,  6 968,0,6968,
Austria,1957,  6 986,0,6986,
Austria,1958,  7 008,0,7008,
Austria,1959,  7 037,0,7037,
Austria,1960,  7 071,0,7071,
Austria,1961,  7 111,0,7111,
Austria,1962,  7 157,0,7157,
Austria,1963,  7 206,0,7206,
Austria,1964,  7 256,0,7256,
Austria,1965,  7 305,0,7305,
Austria,1966,  7 352,0,7352,
Austria,1967,  7 397,0,7397,
Austria,1968,  7 440,0,7440,
Austria,1969,  7 479,0,7479,
Austria,1970,  7 516,0,7516,
Austria,1971,  7 550,0,7550,
Austria,1972,  7 581,0,7581,
Austria,1973,  7 607,0,7607,
Austria,1974,  7 626,0,7626,
Austria,1975,  7 638,0,7638,
Austria,1976,  7 641,0,7641,
Austria,1977,  7 637,0,7637,
Austria,1978,  7 628,0,7628,
Austria,1979,  7 618,0,7618,
Austria,1980,  7 610,0,7610,
Austria,1981,  7 605,0,7605,
Austria,1982,  7 602,0,7602,
Austria,1983,  7 603,0,7603,
Austria,1984,  7 607,0,7607,
Austria,1985,  7 615,0,7615,
Austria,1986,  7 625,0,7625,
Austria,1987,  7 639,0,7639,
Austria,1988,  7 659,0,7659,
Austria,1989,  7 687,0,7687,
Austria,1990,  7 724,0,7724,
Austria,1991,  7 773,0,7773,
Austria,1992,  7 831,0,7831,
Austria,1993,  7 892,0,7892,
Austria,1994,  7 947,0,7947,
Austria,1995,  7 990,0,7990,
Austria,1996,  8 018,0,8018,
Austria,1997,  8 033,0,8033,
Austria,1998,  8 041,0,8041,
Austria,1999,  8 051,0,8051,
Austria,2000,  8 069,0,8069,
Austria,2001,  8 098,0,8098,
Austria,2002,  8 134,0,8134,
Austria,2003,  8 176,0,8176,
Austria,2004,  8 217,0,8217,
Austria,2005,  8 254,0,8254,
Austria,2006,  8 285,0,8285,
Austria,2007,  8 314,0,8314,
Austria,2008,  8 342,0,8342,
Austria,2009,  8 373,0,8373,
Austria,2010,  8 410,0,8410,
Austria,2011,  8 454,0,8454,
Austria,2012,  8 502,0,8502,
Austria,2013,  8 556,0,8556,
Austria,2014,  8 615,0,8615,
Austria,2015,  8 679,0,8679,
Austria,2016,  8 747,0,8747,
Austria,2017,  8 820,0,8820,
Austria,2018,  8 891,0,8891,
Austria,2019,  8 955,0,8955,
Austria,2020,  9 006,0,9006,
Belgium,1950,  8 638,0,8638,
Belgium,1951,  8 680,0,8680,
Belgium,1952,  8 728,0,8728,
Belgium,1953,  8 779,0,8779,
Belgium,1954,  8 833,0,8833,
Belgium,1955,  8 887,0,8887,
Belgium,1956,  8 942,0,8942,
Belgium,1957,  8 998,0,8998,
Belgium,1958,  9 054,0,9054,
Belgium,1959,  9 110,0,9110,
Belgium,1960,  9 167,0,9167,
Belgium,1961,  9 225,0,9225,
Belgium,1962,  9 284,0,9284,
Belgium,1963,  9 340,0,9340,
Belgium,1964,  9 394,0,9394,
Belgium,1965,  9 444,0,9444,
Belgium,1966,  9 489,0,9489,
Belgium,1967,  9 529,0,9529,
Belgium,1968,  9 566,0,9566,
Belgium,1969,  9 600,0,9600,
Belgium,1970,  9 632,0,9632,
Belgium,1971,  9 663,0,9663,
Belgium,1972,  9 693,0,9693,
Belgium,1973,  9 721,0,9721,
Belgium,1974,  9 747,0,9747,
Belgium,1975,  9 772,0,9772,
Belgium,1976,  9 795,0,9795,
Belgium,1977,  9 817,0,9817,
Belgium,1978,  9 837,0,9837,
Belgium,1979,  9 854,0,9854,
Belgium,1980,  9 869,0,9869,
Belgium,1981,  9 881,0,9881,
Belgium,1982,  9 890,0,9890,
Belgium,1983,  9 898,0,9898,
Belgium,1984,  9 906,0,9906,
Belgium,1985,  9 917,0,9917,
Belgium,1986,  9 929,0,9929,
Belgium,1987,  9 942,0,9942,
Belgium,1988,  9 959,0,9959,
Belgium,1989,  9 980,0,9980,
Belgium,1990,  10 007,0,10007,
Belgium,1991,  10 039,0,10039,
Belgium,1992,  10 078,0,10078,
Belgium,1993,  10 119,0,10119,
Belgium,1994,  10 156,0,10156,
Belgium,1995,  10 186,0,10186,
Belgium,1996,  10 208,0,10208,
Belgium,1997,  10 224,0,10224,
Belgium,1998,  10 237,0,10237,
Belgium,1999,  10 255,0,10255,
Belgium,2000,  10 282,0,10282,
Belgium,2001,  10 319,0,10319,
Belgium,2002,  10 365,0,10365,
Belgium,2003,  10 419,0,10419,
Belgium,2004,  10 480,0,10480,
Belgium,2005,  10 547,0,10547,
Belgium,2006,  10 619,0,10619,
Belgium,2007,  10 698,0,10698,
Belgium,2008,  10 779,0,10779,
Belgium,2009,  10 860,0,10860,
Belgium,2010,  10 939,0,10939,
Belgium,2011,  11 014,0,11014,
Belgium,2012,  11 085,0,11085,
Belgium,2013,  11 154,0,11154,
Belgium,2014,  11 221,0,11221,
Belgium,2015,  11 288,0,11288,
Belgium,2016,  11 354,0,11354,
Belgium,2017,  11 420,0,11420,
Belgium,2018,  11 482,0,11482,
Belgium,2019,  11 539,0,11539,
Belgium,2020,  11 590,0,11590,
Denmark,1950,  4 268,0,4268,
Denmark,1951,  4 309,0,4309,
Denmark,1952,  4 346,0,4346,
Denmark,1953,  4 380,0,4380,
Denmark,1954,  4 412,0,4412,
Denmark,1955,  4 441,0,4441,
Denmark,1956,  4 468,0,4468,
Denmark,1957,  4 495,0,4495,
Denmark,1958,  4 522,0,4522,
Denmark,1959,  4 551,0,4551,
Denmark,1960,  4 581,0,4581,
Denmark,1961,  4 614,0,4614,
Denmark,1962,  4 649,0,4649,
Denmark,1963,  4 686,0,4686,
Denmark,1964,  4 724,0,4724,
Denmark,1965,  4 760,0,4760,
Denmark,1966,  4 796,0,4796,
Denmark,1967,  4 832,0,4832,
Denmark,1968,  4 866,0,4866,
Denmark,1969,  4 899,0,4899,
Denmark,1970,  4 931,0,4931,
Denmark,1971,  4 962,0,4962,
Denmark,1972,  4 991,0,4991,
Denmark,1973,  5 017,0,5017,
Denmark,1974,  5 041,0,5041,
Denmark,1975,  5 063,0,5063,
Denmark,1976,  5 081,0,5081,
Denmark,1977,  5 097,0,5097,
Denmark,1978,  5 110,0,5110,
Denmark,1979,  5 119,0,5119,
Denmark,1980,  5 124,0,5124,
Denmark,1981,  5 125,0,5125,
Denmark,1982,  5 123,0,5123,
Denmark,1983,  5 120,0,5120,
Denmark,1984,  5 116,0,5116,
Denmark,1985,  5 114,0,5114,
Denmark,1986,  5 115,0,5115,
Denmark,1987,  5 117,0,5117,
Denmark,1988,  5 122,0,5122,
Denmark,1989,  5 130,0,5130,
Denmark,1990,  5 141,0,5141,
Denmark,1991,  5 155,0,5155,
Denmark,1992,  5 172,0,5172,
Denmark,1993,  5 191,0,5191,
Denmark,1994,  5 211,0,5211,
Denmark,1995,  5 233,0,5233,
Denmark,1996,  5 255,0,5255,
Denmark,1997,  5 278,0,5278,
Denmark,1998,  5 300,0,5300,
Denmark,1999,  5 322,0,5322,
Denmark,2000,  5 341,0,5341,
Denmark,2001,  5 358,0,5358,
Denmark,2002,  5 373,0,5373,
Denmark,2003,  5 387,0,5387,
Denmark,2004,  5 403,0,5403,
Denmark,2005,  5 422,0,5422,
Denmark,2006,  5 444,0,5444,
Denmark,2007,  5 470,0,5470,
Denmark,2008,  5 498,0,5498,
Denmark,2009,  5 526,0,5526,
Denmark,2010,  5 555,0,5555,
Denmark,2011,  5 583,0,5583,
Denmark,2012,  5 611,0,5611,
Denmark,2013,  5 638,0,5638,
Denmark,2014,  5 664,0,5664,
Denmark,2015,  5 689,0,5689,
Denmark,2016,  5 711,0,5711,
Denmark,2017,  5 732,0,5732,
Denmark,2018,  5 752,0,5752,
Denmark,2019,  5 772,0,5772,
Denmark,2020,  5 792,0,5792,
Finland,1950,  4 008,0,4008,
Finland,1951,  4 050,0,4050,
Finland,1952,  4 097,0,4097,
Finland,1953,  4 144,0,4144,
Finland,1954,  4 192,0,4192,
Finland,1955,  4 238,0,4238,
Finland,1956,  4 282,0,4282,
Finland,1957,  4 324,0,4324,
Finland,1958,  4 363,0,4363,
Finland,1959,  4 400,0,4400,
Finland,1960,  4 435,0,4435,
Finland,1961,  4 468,0,4468,
Finland,1962,  4 499,0,4499,
Finland,1963,  4 527,0,4527,
Finland,1964,  4 550,0,4550,
Finland,1965,  4 569,0,4569,
Finland,1966,  4 581,0,4581,
Finland,1967,  4 589,0,4589,
Finland,1968,  4 594,0,4594,
Finland,1969,  4 601,0,4601,
Finland,1970,  4 612,0,4612,
Finland,1971,  4 629,0,4629,
Finland,1972,  4 651,0,4651,
Finland,1973,  4 675,0,4675,
Finland,1974,  4 699,0,4699,
Finland,1975,  4 719,0,4719,
Finland,1976,  4 734,0,4734,
Finland,1977,  4 747,0,4747,
Finland,1978,  4 758,0,4758,
Finland,1979,  4 771,0,4771,
Finland,1980,  4 788,0,4788,
Finland,1981,  4 810,0,4810,
Finland,1982,  4 835,0,4835,
Finland,1983,  4 862,0,4862,
Finland,1984,  4 888,0,4888,
Finland,1985,  4 911,0,4911,
Finland,1986,  4 930,0,4930,
Finland,1987,  4 946,0,4946,
Finland,1988,  4 961,0,4961,
Finland,1989,  4 977,0,4977,
Finland,1990,  4 996,0,4996,
Finland,1991,  5 019,0,5019,
Finland,1992,  5 045,0,5045,
Finland,1993,  5 072,0,5072,
Finland,1994,  5 097,0,5097,
Finland,1995,  5 119,0,5119,
Finland,1996,  5 137,0,5137,
Finland,1997,  5 152,0,5152,
Finland,1998,  5 164,0,5164,
Finland,1999,  5 176,0,5176,
Finland,2000,  5 188,0,5188,
Finland,2001,  5 200,0,5200,
Finland,2002,  5 213,0,5213,
Finland,2003,  5 227,0,5227,
Finland,2004,  5 242,0,5242,
Finland,2005,  5 259,0,5259,
Finland,2006,  5 277,0,5277,
Finland,2007,  5 298,0,5298,
Finland,2008,  5 319,0,5319,
Finland,2009,  5 342,0,5342,
Finland,2010,  5 366,0,5366,
Finland,2011,  5 390,0,5390,
Finland,2012,  5 415,0,5415,
Finland,2013,  5 439,0,5439,
Finland,2014,  5 461,0,5461,
Finland,2015,  5 481,0,5481,
Finland,2016,  5 498,0,5498,
Finland,2017,  5 511,0,5511,
Finland,2018,  5 523,0,5523,
Finland,2019,  5 532,0,5532,
Finland,2020,  5 541,0,5541,
France,1950,  41 834,0,41834,
France,1951,  42 031,0,42031,
France,1952,  42 316,0,42316,
France,1953,  42 655,0,42655,
France,1954,  43 025,0,43025,
France,1955,  43 411,0,43411,
France,1956,  43 809,0,43809,
France,1957,  44 221,0,44221,
France,1958,  44 659,0,44659,
France,1959,  45 138,0,45138,
France,1960,  45 673,0,45673,
France,1961,  46 267,0,46267,
France,1962,  46 907,0,46907,
France,1963,  47 561,0,47561,
France,1964,  48 184,0,48184,
France,1965,  48 747,0,48747,
France,1966,  49 233,0,49233,
France,1967,  49 651,0,49651,
France,1968,  50 025,0,50025,
France,1969,  50 387,0,50387,
France,1970,  50 764,0,50764,
France,1971,  51 163,0,51163,
France,1972,  51 573,0,51573,
France,1973,  51 980,0,51980,
France,1974,  52 357,0,52357,
France,1975,  52 689,0,52689,
France,1976,  52 969,0,52969,
France,1977,  53 209,0,53209,
France,1978,  53 423,0,53423,
France,1979,  53 637,0,53637,
France,1980,  53 868,0,53868,
France,1981,  54 121,0,54121,
France,1982,  54 391,0,54391,
France,1983,  54 675,0,54675,
France,1984,  54 965,0,54965,
France,1985,  55 255,0,55255,
France,1986,  55 545,0,55545,
France,1987,  55 838,0,55838,
France,1988,  56 126,0,56126,
France,1989,  56 404,0,56404,
France,1990,  56 667,0,56667,
France,1991,  56 914,0,56914,
France,1992,  57 147,0,57147,
France,1993,  57 370,0,57370,
France,1994,  57 587,0,57587,
France,1995,  57 802,0,57802,
France,1996,  58 012,0,58012,
France,1997,  58 221,0,58221,
France,1998,  58 444,0,58444,
France,1999,  58 704,0,58704,
France,2000,  59 015,0,59015,
France,2001,  59 384,0,59384,
France,2002,  59 803,0,59803,
France,2003,  60 252,0,60252,
France,2004,  60 698,0,60698,
France,2005,  61 120,0,61120,
France,2006,  61 509,0,61509,
France,2007,  61 869,0,61869,
France,2008,  62 209,0,62209,
France,2009,  62 543,0,62543,
France,2010,  62 880,0,62880,
France,2011,  63 222,0,63222,
France,2012,  63 564,0,63564,
France,2013,  63 894,0,63894,
France,2014,  64 194,0,64194,
France,2015,  64 453,0,64453,
France,2016,  64 668,0,64668,
France,2017,  64 843,0,64843,
France,2018,  64 991,0,64991,
France,2019,  65 130,0,65130,
France,2020,  65 274,0,65274,
Germany,1950,  69 966,0,69966,
Germany,1951,  70 300,0,70300,
Germany,1952,  70 620,0,70620,
Germany,1953,  70 930,0,70930,
Germany,1954,  71 233,0,71233,
Germany,1955,  71 537,0,71537,
Germany,1956,  71 851,0,71851,
Germany,1957,  72 183,0,72183,
Germany,1958,  72 548,0,72548,
Germany,1959,  72 955,0,72955,
Germany,1960,  73 414,0,73414,
Germany,1961,  73 928,0,73928,
Germany,1962,  74 489,0,74489,
Germany,1963,  75 081,0,75081,
Germany,1964,  75 677,0,75677,
Germany,1965,  76 258,0,76258,
Germany,1966,  76 820,0,76820,
Germany,1967,  77 357,0,77357,
Germany,1968,  77 847,0,77847,
Germany,1969,  78 261,0,78261,
Germany,1970,  78 578,0,78578,
Germany,1971,  78 790,0,78790,
Germany,1972,  78 902,0,78902,
Germany,1973,  78 932,0,78932,
Germany,1974,  78 910,0,78910,
Germany,1975,  78 856,0,78856,
Germany,1976,  78 782,0,78782,
Germany,1977,  78 687,0,78687,
Germany,1978,  78 574,0,78574,
Germany,1979,  78 438,0,78438,
Germany,1980,  78 283,0,78283,
Germany,1981,  78 108,0,78108,
Germany,1982,  77 926,0,77926,
Germany,1983,  77 770,0,77770,
Germany,1984,  77 682,0,77682,
Germany,1985,  77 692,0,77692,
Germany,1986,  77 806,0,77806,
Germany,1987,  78 016,0,78016,
Germany,1988,  78 308,0,78308,
Germany,1989,  78 660,0,78660,
Germany,1990,  79 054,0,79054,
Germany,1991,  79 491,0,79491,
Germany,1992,  79 963,0,79963,
Germany,1993,  80 429,0,80429,
Germany,1994,  80 833,0,80833,
Germany,1995,  81 139,0,81139,
Germany,1996,  81 324,0,81324,
Germany,1997,  81 399,0,81399,
Germany,1998,  81 403,0,81403,
Germany,1999,  81 390,0,81390,
Germany,2000,  81 401,0,81401,
Germany,2001,  81 454,0,81454,
Germany,2002,  81 535,0,81535,
Germany,2003,  81 614,0,81614,
Germany,2004,  81 646,0,81646,
Germany,2005,  81 603,0,81603,
Germany,2006,  81 472,0,81472,
Germany,2007,  81 278,0,81278,
Germany,2008,  81 066,0,81066,
Germany,2009,  80 900,0,80900,
Germany,2010,  80 827,0,80827,
Germany,2011,  80 856,0,80856,
Germany,2012,  80 973,0,80973,
Germany,2013,  81 174,0,81174,
Germany,2014,  81 450,0,81450,
Germany,2015,  81 787,0,81787,
Germany,2016,  82 194,0,82194,
Germany,2017,  82 658,0,82658,
Germany,2018,  83 124,0,83124,
Germany,2019,  83 517,0,83517,
Germany,2020,  83 784,0,83784,
Ireland,1950,  2 913,0,2913,
Ireland,1951,  2 913,0,2913,
Ireland,1952,  2 909,0,2909,
Ireland,1953,  2 901,0,2901,
Ireland,1954,  2 889,0,2889,
Ireland,1955,  2 873,0,2873,
Ireland,1956,  2 855,0,2855,
Ireland,1957,  2 835,0,2835,
Ireland,1958,  2 816,0,2816,
Ireland,1959,  2 801,0,2801,
Ireland,1960,  2 791,0,2791,
Ireland,1961,  2 789,0,2789,
Ireland,1962,  2 792,0,2792,
Ireland,1963,  2 801,0,2801,
Ireland,1964,  2 812,0,2812,
Ireland,1965,  2 824,0,2824,
Ireland,1966,  2 835,0,2835,
Ireland,1967,  2 846,0,2846,
Ireland,1968,  2 861,0,2861,
Ireland,1969,  2 881,0,2881,
Ireland,1970,  2 908,0,2908,
Ireland,1971,  2 944,0,2944,
Ireland,1972,  2 987,0,2987,
Ireland,1973,  3 034,0,3034,
Ireland,1974,  3 085,0,3085,
Ireland,1975,  3 137,0,3137,
Ireland,1976,  3 190,0,3190,
Ireland,1977,  3 243,0,3243,
Ireland,1978,  3 294,0,3294,
Ireland,1979,  3 342,0,3342,
Ireland,1980,  3 385,0,3385,
Ireland,1981,  3 422,0,3422,
Ireland,1982,  3 454,0,3454,
Ireland,1983,  3 479,0,3479,
Ireland,1984,  3 499,0,3499,
Ireland,1985,  3 511,0,3511,
Ireland,1986,  3 516,0,3516,
Ireland,1987,  3 516,0,3516,
Ireland,1988,  3 512,0,3512,
Ireland,1989,  3 510,0,3510,
Ireland,1990,  3 511,0,3511,
Ireland,1991,  3 518,0,3518,
Ireland,1992,  3 530,0,3530,
Ireland,1993,  3 547,0,3547,
Ireland,1994,  3 568,0,3568,
Ireland,1995,  3 592,0,3592,
Ireland,1996,  3 620,0,3620,
Ireland,1997,  3 651,0,3651,
Ireland,1998,  3 688,0,3688,
Ireland,1999,  3 731,0,3731,
Ireland,2000,  3 783,0,3783,
Ireland,2001,  3 842,0,3842,
Ireland,2002,  3 908,0,3908,
Ireland,2003,  3 980,0,3980,
Ireland,2004,  4 058,0,4058,
Ireland,2005,  4 141,0,4141,
Ireland,2006,  4 231,0,4231,
Ireland,2007,  4 325,0,4325,
Ireland,2008,  4 416,0,4416,
Ireland,2009,  4 495,0,4495,
Ireland,2010,  4 554,0,4554,
Ireland,2011,  4 591,0,4591,
Ireland,2012,  4 608,0,4608,
Ireland,2013,  4 615,0,4615,
Ireland,2014,  4 627,0,4627,
Ireland,2015,  4 652,0,4652,
Ireland,2016,  4 696,0,4696,
Ireland,2017,  4 753,0,4753,
Ireland,2018,  4 819,0,4819,
Ireland,2019,  4 882,0,4882,
Ireland,2020,  4 938,0,4938,
Italy,1950,  46 599,0,46599,
Italy,1951,  47 010,0,47010,
Italy,1952,  47 391,0,47391,
Italy,1953,  47 737,0,47737,
Italy,1954,  48 051,0,48051,
Italy,1955,  48 336,0,48336,
Italy,1956,  48 599,0,48599,
Italy,1957,  48 852,0,48852,
Italy,1958,  49 110,0,49110,
Italy,1959,  49 388,0,49388,
Italy,1960,  49 700,0,49700,
Italy,1961,  50 052,0,50052,
Italy,1962,  50 442,0,50442,
Italy,1963,  50 856,0,50856,
Italy,1964,  51 273,0,51273,
Italy,1965,  51 677,0,51677,
Italy,1966,  52 063,0,52063,
Italy,1967,  52 433,0,52433,
Italy,1968,  52 795,0,52795,
Italy,1969,  53 155,0,53155,
Italy,1970,  53 519,0,53519,
Italy,1971,  53 889,0,53889,
Italy,1972,  54 259,0,54259,
Italy,1973,  54 619,0,54619,
Italy,1974,  54 958,0,54958,
Italy,1975,  55 265,0,55265,
Italy,1976,  55 538,0,55538,
Italy,1977,  55 778,0,55778,
Italy,1978,  55 989,0,55989,
Italy,1979,  56 178,0,56178,
Italy,1980,  56 349,0,56349,
Italy,1981,  56 505,0,56505,
Italy,1982,  56 645,0,56645,
Italy,1983,  56 765,0,56765,
Italy,1984,  56 863,0,56863,
Italy,1985,  56 937,0,56937,
Italy,1986,  56 984,0,56984,
Italy,1987,  57 008,0,57008,
Italy,1988,  57 018,0,57018,
Italy,1989,  57 029,0,57029,
Italy,1990,  57 048,0,57048,
Italy,1991,  57 088,0,57088,
Italy,1992,  57 145,0,57145,
Italy,1993,  57 198,0,57198,
