Country,Year,Total Population,projection,totalPop,
Italy,2068,  47 487,1,47487,
Italy,2069,  47 145,1,47145,
Italy,2070,  46 815,1,46815,
Italy,2071,  46 496,1,46496,
Italy,2072,  46 189,1,46189,
Italy,2073,  45 894,1,45894,
Italy,2074,  45 609,1,45609,
Italy,2075,  45 335,1,45335,
Italy,2076,  45 070,1,45070,
Italy,2077,  44 815,1,44815,
Italy,2078,  44 568,1,44568,
Italy,2079,  44 328,1,44328,
Italy,2080,  44 094,1,44094,
Italy,2081,  43 864,1,43864,
Italy,2082,  43 640,1,43640,
Italy,2083,  43 419,1,43419,
Italy,2084,  43 202,1,43202,
Italy,2085,  42 988,1,42988,
Italy,2086,  42 776,1,42776,
Italy,2087,  42 566,1,42566,
Italy,2088,  42 358,1,42358,
Italy,2089,  42 152,1,42152,
Italy,2090,  41 947,1,41947,
Italy,2091,  41 744,1,41744,
Italy,2092,  41 542,1,41542,
Italy,2093,  41 341,1,41341,
Italy,2094,  41 142,1,41142,
Italy,2095,  40 944,1,40944,
Italy,2096,  40 749,1,40749,
Italy,2097,  40 555,1,40555,
Italy,2098,  40 365,1,40365,
Italy,2099,  40 177,1,40177,
Italy,2100,  39 993,1,39993,
Netherlands,2021,  17 173,1,17173,
Netherlands,2022,  17 211,1,17211,
Netherlands,2023,  17 249,1,17249,
Netherlands,2024,  17 286,1,17286,
Netherlands,2025,  17 320,1,17320,
Netherlands,2026,  17 351,1,17351,
Netherlands,2027,  17 380,1,17380,
Netherlands,2028,  17 406,1,17406,
Netherlands,2029,  17 430,1,17430,
Netherlands,2030,  17 450,1,17450,
Netherlands,2031,  17 468,1,17468,
Netherlands,2032,  17 482,1,17482,
Netherlands,2033,  17 492,1,17492,
Netherlands,2034,  17 499,1,17499,
Netherlands,2035,  17 502,1,17502,
Netherlands,2036,  17 501,1,17501,
Netherlands,2037,  17 497,1,17497,
Netherlands,2038,  17 488,1,17488,
Netherlands,2039,  17 476,1,17476,
Netherlands,2040,  17 461,1,17461,
Netherlands,2041,  17 442,1,17442,
Netherlands,2042,  17 420,1,17420,
Netherlands,2043,  17 395,1,17395,
Netherlands,2044,  17 368,1,17368,
Netherlands,2045,  17 338,1,17338,
Netherlands,2046,  17 307,1,17307,
Netherlands,2047,  17 274,1,17274,
Netherlands,2048,  17 239,1,17239,
Netherlands,2049,  17 203,1,17203,
Netherlands,2050,  17 165,1,17165,
Netherlands,2051,  17 127,1,17127,
Netherlands,2052,  17 088,1,17088,
Netherlands,2053,  17 049,1,17049,
Netherlands,2054,  17 010,1,17010,
Netherlands,2055,  16 971,1,16971,
Netherlands,2056,  16 933,1,16933,
Netherlands,2057,  16 895,1,16895,
Netherlands,2058,  16 858,1,16858,
Netherlands,2059,  16 822,1,16822,
Netherlands,2060,  16 787,1,16787,
Netherlands,2061,  16 753,1,16753,
Netherlands,2062,  16 721,1,16721,
Netherlands,2063,  16 690,1,16690,
Netherlands,2064,  16 660,1,16660,
Netherlands,2065,  16 632,1,16632,
Netherlands,2066,  16 605,1,16605,
Netherlands,2067,  16 580,1,16580,
Netherlands,2068,  16 556,1,16556,
Netherlands,2069,  16 532,1,16532,
Netherlands,2070,  16 510,1,16510,
Netherlands,2071,  16 488,1,16488,
Netherlands,2072,  16 466,1,16466,
Netherlands,2073,  16 444,1,16444,
Netherlands,2074,  16 422,1,16422,
Netherlands,2075,  16 400,1,16400,
Netherlands,2076,  16 377,1,16377,
Netherlands,2077,  16 354,1,16354,
Netherlands,2078,  16 330,1,16330,
Netherlands,2079,  16 305,1,16305,
Netherlands,2080,  16 279,1,16279,
Netherlands,2081,  16 252,1,16252,
Netherlands,2082,  16 225,1,16225,
Netherlands,2083,  16 197,1,16197,
Netherlands,2084,  16 169,1,16169,
Netherlands,2085,  16 140,1,16140,
Netherlands,2086,  16 112,1,16112,
Netherlands,2087,  16 084,1,16084,
Netherlands,2088,  16 056,1,16056,
Netherlands,2089,  16 029,1,16029,
Netherlands,2090,  16 002,1,16002,
Netherlands,2091,  15 975,1,15975,
Netherlands,2092,  15 949,1,15949,
Netherlands,2093,  15 923,1,15923,
Netherlands,2094,  15 898,1,15898,
Netherlands,2095,  15 874,1,15874,
Netherlands,2096,  15 850,1,15850,
Netherlands,2097,  15 827,1,15827,
Netherlands,2098,  15 804,1,15804,
Netherlands,2099,  15 781,1,15781,
Netherlands,2100,  15 760,1,15760,
Norway,2021,  5 466,1,5466,
Norway,2022,  5 511,1,5511,
Norway,2023,  5 558,1,5558,
Norway,2024,  5 605,1,5605,
Norway,2025,  5 651,1,5651,
Norway,2026,  5 697,1,5697,
Norway,2027,  5 742,1,5742,
Norway,2028,  5 787,1,5787,
Norway,2029,  5 832,1,5832,
Norway,2030,  5 876,1,5876,
Norway,2031,  5 919,1,5919,
Norway,2032,  5 961,1,5961,
Norway,2033,  6 003,1,6003,
Norway,2034,  6 044,1,6044,
Norway,2035,  6 084,1,6084,
Norway,2036,  6 123,1,6123,
Norway,2037,  6 161,1,6161,
Norway,2038,  6 199,1,6199,
Norway,2039,  6 235,1,6235,
Norway,2040,  6 271,1,6271,
Norway,2041,  6 307,1,6307,
Norway,2042,  6 342,1,6342,
Norway,2043,  6 376,1,6376,
Norway,2044,  6 409,1,6409,
Norway,2045,  6 442,1,6442,
Norway,2046,  6 475,1,6475,
Norway,2047,  6 507,1,6507,
Norway,2048,  6 538,1,6538,
Norway,2049,  6 570,1,6570,
Norway,2050,  6 600,1,6600,
Norway,2051,  6 631,1,6631,
Norway,2052,  6 661,1,6661,
Norway,2053,  6 691,1,6691,
Norway,2054,  6 720,1,6720,
Norway,2055,  6 749,1,6749,
Norway,2056,  6 778,1,6778,
Norway,2057,  6 807,1,6807,
Norway,2058,  6 836,1,6836,
Norway,2059,  6 864,1,6864,
Norway,2060,  6 892,1,6892,
Norway,2061,  6 920,1,6920,
Norway,2062,  6 949,1,6949,
Norway,2063,  6 977,1,6977,
Norway,2064,  7 005,1,7005,
Norway,2065,  7 033,1,7033,
Norway,2066,  7 061,1,7061,
Norway,2067,  7 090,1,7090,
Norway,2068,  7 118,1,7118,
Norway,2069,  7 146,1,7146,
Norway,2070,  7 175,1,7175,
Norway,2071,  7 203,1,7203,
Norway,2072,  7 232,1,7232,
Norway,2073,  7 260,1,7260,
Norway,2074,  7 288,1,7288,
Norway,2075,  7 316,1,7316,
Norway,2076,  7 344,1,7344,
Norway,2077,  7 371,1,7371,
Norway,2078,  7 398,1,7398,
Norway,2079,  7 425,1,7425,
Norway,2080,  7 452,1,7452,
Norway,2081,  7 478,1,7478,
Norway,2082,  7 503,1,7503,
Norway,2083,  7 529,1,7529,
Norway,2084,  7 554,1,7554,
Norway,2085,  7 579,1,7579,
Norway,2086,  7 603,1,7603,
Norway,2087,  7 628,1,7628,
Norway,2088,  7 653,1,7653,
Norway,2089,  7 677,1,7677,
Norway,2090,  7 702,1,7702,
Norway,2091,  7 726,1,7726,
Norway,2092,  7 751,1,7751,
Norway,2093,  7 776,1,7776,
Norway,2094,  7 801,1,7801,
Norway,2095,  7 826,1,7826,
Norway,2096,  7 851,1,7851,
Norway,2097,  7 876,1,7876,
Norway,2098,  7 902,1,7902,
Norway,2099,  7 927,1,7927,
Norway,2100,  7 953,1,7953,
Portugal,2021,  10 168,1,10168,
Portugal,2022,  10 141,1,10141,
Portugal,2023,  10 114,1,10114,
Portugal,2024,  10 087,1,10087,
Portugal,2025,  10 060,1,10060,
Portugal,2026,  10 032,1,10032,
Portugal,2027,  10 004,1,10004,
Portugal,2028,  9 974,1,9974,
Portugal,2029,  9 944,1,9944,
Portugal,2030,  9 913,1,9913,
Portugal,2031,  9 881,1,9881,
Portugal,2032,  9 849,1,9849,
Portugal,2033,  9 816,1,9816,
Portugal,2034,  9 782,1,9782,
Portugal,2035,  9 748,1,9748,
Portugal,2036,  9 712,1,9712,
Portugal,2037,  9 675,1,9675,
Portugal,2038,  9 637,1,9637,
Portugal,2039,  9 598,1,9598,
Portugal,2040,  9 558,1,9558,
Portugal,2041,  9 517,1,9517,
Portugal,2042,  9 474,1,9474,
Portugal,2043,  9 430,1,9430,
Portugal,2044,  9 385,1,9385,
Portugal,2045,  9 338,1,9338,
Portugal,2046,  9 290,1,9290,
Portugal,2047,  9 240,1,9240,
Portugal,2048,  9 190,1,9190,
Portugal,2049,  9 138,1,9138,
Portugal,2050,  9 085,1,9085,
Portugal,2051,  9 030,1,9030,
Portugal,2052,  8 975,1,8975,
Portugal,2053,  8 919,1,8919,
Portugal,2054,  8 863,1,8863,
Portugal,2055,  8 805,1,8805,
Portugal,2056,  8 748,1,8748,
Portugal,2057,  8 689,1,8689,
Portugal,2058,  8 631,1,8631,
Portugal,2059,  8 573,1,8573,
Portugal,2060,  8 514,1,8514,
Portugal,2061,  8 456,1,8456,
Portugal,2062,  8 398,1,8398,
Portugal,2063,  8 340,1,8340,
Portugal,2064,  8 284,1,8284,
Portugal,2065,  8 228,1,8228,
Portugal,2066,  8 173,1,8173,
Portugal,2067,  8 118,1,8118,
Portugal,2068,  8 066,1,8066,
Portugal,2069,  8 014,1,8014,
Portugal,2070,  7 964,1,7964,
Portugal,2071,  7 916,1,7916,
Portugal,2072,  7 869,1,7869,
Portugal,2073,  7 824,1,7824,
Portugal,2074,  7 780,1,7780,
Portugal,2075,  7 738,1,7738,
Portugal,2076,  7 698,1,7698,
Portugal,2077,  7 660,1,7660,
Portugal,2078,  7 623,1,7623,
Portugal,2079,  7 587,1,7587,
Portugal,2080,  7 553,1,7553,
Portugal,2081,  7 520,1,7520,
Portugal,2082,  7 487,1,7487,
Portugal,2083,  7 456,1,7456,
Portugal,2084,  7 425,1,7425,
Portugal,2085,  7 395,1,7395,
Portugal,2086,  7 365,1,7365,
Portugal,2087,  7 336,1,7336,
Portugal,2088,  7 307,1,7307,
Portugal,2089,  7 278,1,7278,
Portugal,2090,  7 249,1,7249,
Portugal,2091,  7 221,1,7221,
Portugal,2092,  7 193,1,7193,
Portugal,2093,  7 165,1,7165,
Portugal,2094,  7 138,1,7138,
Portugal,2095,  7 111,1,7111,
Portugal,2096,  7 084,1,7084,
Portugal,2097,  7 058,1,7058,
Portugal,2098,  7 033,1,7033,
Portugal,2099,  7 008,1,7008,
Portugal,2100,  6 985,1,6985,
Spain,2021,  46 745,1,46745,
Spain,2022,  46 719,1,46719,
Spain,2023,  46 679,1,46679,
Spain,2024,  46 631,1,46631,
Spain,2025,  46 577,1,46577,
Spain,2026,  46 519,1,46519,
Spain,2027,  46 454,1,46454,
Spain,2028,  46 384,1,46384,
Spain,2029,  46 309,1,46309,
Spain,2030,  46 230,1,46230,
Spain,2031,  46 148,1,46148,
Spain,2032,  46 061,1,46061,
Spain,2033,  45 972,1,45972,
Spain,2034,  45 878,1,45878,
Spain,2035,  45 780,1,45780,
Spain,2036,  45 678,1,45678,
Spain,2037,  45 571,1,45571,
Spain,2038,  45 460,1,45460,
Spain,2039,  45 345,1,45345,
Spain,2040,  45 225,1,45225,
Spain,2041,  45 100,1,45100,
Spain,2042,  44 969,1,44969,
Spain,2043,  44 833,1,44833,
Spain,2044,  44 689,1,44689,
Spain,2045,  44 537,1,44537,
Spain,2046,  44 376,1,44376,
Spain,2047,  44 207,1,44207,
Spain,2048,  44 028,1,44028,
Spain,2049,  43 839,1,43839,
Spain,2050,  43 637,1,43637,
Spain,2051,  43 424,1,43424,
Spain,2052,  43 200,1,43200,
Spain,2053,  42 964,1,42964,
Spain,2054,  42 717,1,42717,
Spain,2055,  42 460,1,42460,
Spain,2056,  42 193,1,42193,
Spain,2057,  41 917,1,41917,
Spain,2058,  41 633,1,41633,
Spain,2059,  41 342,1,41342,
Spain,2060,  41 046,1,41046,
Spain,2061,  40 745,1,40745,
Spain,2062,  40 441,1,40441,
Spain,2063,  40 135,1,40135,
Spain,2064,  39 827,1,39827,
Spain,2065,  39 520,1,39520,
Spain,2066,  39 214,1,39214,
Spain,2067,  38 910,1,38910,
Spain,2068,  38 610,1,38610,
Spain,2069,  38 315,1,38315,
Spain,2070,  38 027,1,38027,
Spain,2071,  37 747,1,37747,
Spain,2072,  37 476,1,37476,
Spain,2073,  37 214,1,37214,
Spain,2074,  36 964,1,36964,
Spain,2075,  36 725,1,36725,
Spain,2076,  36 500,1,36500,
Spain,2077,  36 286,1,36286,
Spain,2078,  36 086,1,36086,
Spain,2079,  35 897,1,35897,
Spain,2080,  35 720,1,35720,
Spain,2081,  35 555,1,35555,
Spain,2082,  35 401,1,35401,
Spain,2083,  35 256,1,35256,
Spain,2084,  35 118,1,35118,
Spain,2085,  34 987,1,34987,
Spain,2086,  34 861,1,34861,
Spain,2087,  34 739,1,34739,
Spain,2088,  34 621,1,34621,
Spain,2089,  34 504,1,34504,
Spain,2090,  34 389,1,34389,
Spain,2091,  34 274,1,34274,
Spain,2092,  34 159,1,34159,
Spain,2093,  34 044,1,34044,
Spain,2094,  33 928,1,33928,
Spain,2095,  33 811,1,33811,
Spain,2096,  33 693,1,33693,
Spain,2097,  33 574,1,33574,
Spain,2098,  33 454,1,33454,
Spain,2099,  33 333,1,33333,
Spain,2100,  33 210,1,33210,
Sweden,2021,  10 160,1,10160,
Sweden,2022,  10 219,1,10219,
Sweden,2023,  10 276,1,10276,
Sweden,2024,  10 331,1,10331,
Sweden,2025,  10 385,1,10385,
Sweden,2026,  10 437,1,10437,
Sweden,2027,  10 488,1,10488,
Sweden,2028,  10 538,1,10538,
Sweden,2029,  10 585,1,10585,
Sweden,2030,  10 630,1,10630,
Sweden,2031,  10 673,1,10673,
Sweden,2032,  10 714,1,10714,
Sweden,2033,  10 753,1,10753,
Sweden,2034,  10 791,1,10791,
Sweden,2035,  10 828,1,10828,
Sweden,2036,  10 865,1,10865,
Sweden,2037,  10 901,1,10901,
Sweden,2038,  10 936,1,10936,
Sweden,2039,  10 972,1,10972,
Sweden,2040,  11 008,1,11008,
Sweden,2041,  11 045,1,11045,
Sweden,2042,  11 082,1,11082,
Sweden,2043,  11 120,1,11120,
Sweden,2044,  11 157,1,11157,
Sweden,2045,  11 196,1,11196,
Sweden,2046,  11 234,1,11234,
Sweden,2047,  11 273,1,11273,
Sweden,2048,  11 312,1,11312,
Sweden,2049,  11 351,1,11351,
Sweden,2050,  11 389,1,11389,
Sweden,2051,  11 427,1,11427,
Sweden,2052,  11 465,1,11465,
Sweden,2053,  11 502,1,11502,
Sweden,2054,  11 538,1,11538,
Sweden,2055,  11 573,1,11573,
Sweden,2056,  11 608,1,11608,
Sweden,2057,  11 642,1,11642,
Sweden,2058,  11 675,1,11675,
Sweden,2059,  11 707,1,11707,
Sweden,2060,  11 739,1,11739,
Sweden,2061,  11 771,1,11771,
Sweden,2062,  11 802,1,11802,
Sweden,2063,  11 833,1,11833,
Sweden,2064,  11 865,1,11865,
Sweden,2065,  11 896,1,11896,
Sweden,2066,  11 927,1,11927,
Sweden,2067,  11 959,1,11959,
Sweden,2068,  11 991,1,11991,
Sweden,2069,  12 024,1,12024,
Sweden,2070,  12 056,1,12056,
Sweden,2071,  12 089,1,12089,
Sweden,2072,  12 123,1,12123,
Sweden,2073,  12 156,1,12156,
Sweden,2074,  12 189,1,12189,
Sweden,2075,  12 222,1,12222,
Sweden,2076,  12 254,1,12254,
Sweden,2077,  12 287,1,12287,
Sweden,2078,  12 318,1,12318,
Sweden,2079,  12 350,1,12350,
Sweden,2080,  12 380,1,12380,
Sweden,2081,  12 410,1,12410,
Sweden,2082,  12 440,1,12440,
Sweden,2083,  12 469,1,12469,
Sweden,2084,  12 498,1,12498,
Sweden,2085,  12 527,1,12527,
Sweden,2086,  12 557,1,12557,
Sweden,2087,  12 586,1,12586,
Sweden,2088,  12 616,1,12616,
Sweden,2089,  12 647,1,12647,
Sweden,2090,  12 679,1,12679,
Sweden,2091,  12 711,1,12711,
Sweden,2092,  12 745,1,12745,
Sweden,2093,  12 779,1,12779,
Sweden,2094,  12 813,1,12813,
Sweden,2095,  12 848,1,12848,
Sweden,2096,  12 883,1,12883,
Sweden,2097,  12 918,1,12918,
Sweden,2098,  12 953,1,12953,
Sweden,2099,  12 988,1,12988,
Sweden,2100,  13 023,1,13023,
Switzerland,2021,  8 715,1,8715,
Switzerland,2022,  8 774,1,8774,
Switzerland,2023,  8 830,1,8830,
Switzerland,2024,  8 884,1,8884,
Switzerland,2025,  8 937,1,8937,
Switzerland,2026,  8 989,1,8989,
Switzerland,2027,  9 040,1,9040,
Switzerland,2028,  9 091,1,9091,
Switzerland,2029,  9 139,1,9139,
Switzerland,2030,  9 185,1,9185,
Switzerland,2031,  9 229,1,9229,
Switzerland,2032,  9 271,1,9271,
Switzerland,2033,  9 311,1,9311,
Switzerland,2034,  9 349,1,9349,
Switzerland,2035,  9 386,1,9386,
Switzerland,2036,  9 422,1,9422,
Switzerland,2037,  9 456,1,9456,
Switzerland,2038,  9 489,1,9489,
Switzerland,2039,  9 521,1,9521,
Switzerland,2040,  9 551,1,9551,
Switzerland,2041,  9 581,1,9581,
Switzerland,2042,  9 610,1,9610,
Switzerland,2043,  9 639,1,9639,
Switzerland,2044,  9 666,1,9666,
Switzerland,2045,  9 693,1,9693,
Switzerland,2046,  9 720,1,9720,
Switzerland,2047,  9 745,1,9745,
Switzerland,2048,  9 770,1,9770,
Switzerland,2049,  9 794,1,9794,
Switzerland,2050,  9 818,1,9818,
Switzerland,2051,  9 840,1,9840,
Switzerland,2052,  9 862,1,9862,
Switzerland,2053,  9 882,1,9882,
Switzerland,2054,  9 902,1,9902,
Switzerland,2055,  9 922,1,9922,
Switzerland,2056,  9 940,1,9940,
Switzerland,2057,  9 959,1,9959,
Switzerland,2058,  9 976,1,9976,
Switzerland,2059,  9 994,1,9994,
Switzerland,2060,  10 012,1,10012,
Switzerland,2061,  10 029,1,10029,
Switzerland,2062,  10 047,1,10047,
Switzerland,2063,  10 065,1,10065,
Switzerland,2064,  10 083,1,10083,
Switzerland,2065,  10 102,1,10102,
Switzerland,2066,  10 122,1,10122,
Switzerland,2067,  10 142,1,10142,
Switzerland,2068,  10 163,1,10163,
Switzerland,2069,  10 184,1,10184,
Switzerland,2070,  10 205,1,10205,
Switzerland,2071,  10 227,1,10227,
Switzerland,2072,  10 249,1,10249,
Switzerland,2073,  10 271,1,10271,
Switzerland,2074,  10 293,1,10293,
Switzerland,2075,  10 316,1,10316,
Switzerland,2076,  10 338,1,10338,
Switzerland,2077,  10 360,1,10360,
Switzerland,2078,  10 382,1,10382,
Switzerland,2079,  10 405,1,10405,
Switzerland,2080,  10 428,1,10428,
Switzerland,2081,  10 452,1,10452,
Switzerland,2082,  10 476,1,10476,
Switzerland,2083,  10 500,1,10500,
Switzerland,2084,  10 526,1,10526,
Switzerland,2085,  10 552,1,10552,
Switzerland,2086,  10 580,1,10580,
Switzerland,2087,  10 608,1,10608,
Switzerland,2088,  10 637,1,10637,
Switzerland,2089,  10 668,1,10668,
Switzerland,2090,  10 699,1,10699,
Switzerland,2091,  10 730,1,10730,
Switzerland,2092,  10 763,1,10763,
Switzerland,2093,  10 796,1,10796,
Switzerland,2094,  10 830,1,10830,
Switzerland,2095,  10 864,1,10864,
Switzerland,2096,  10 899,1,10899,
Switzerland,2097,  10 934,1,10934,
Switzerland,2098,  10 970,1,10970,
Switzerland,2099,  11 006,1,11006,
Switzerland,2100,  11 041,1,11041,
United Kingdom,2021,  68 207,1,68207,
United Kingdom,2022,  68 498,1,68498,
United Kingdom,2023,  68 766,1,68766,
United Kingdom,2024,  69 022,1,69022,
United Kingdom,2025,  69 274,1,69274,
United Kingdom,2026,  69 524,1,69524,
United Kingdom,2027,  69 772,1,69772,
United Kingdom,2028,  70 016,1,70016,
United Kingdom,2029,  70 255,1,70255,
United Kingdom,2030,  70 485,1,70485,
United Kingdom,2031,  70 709,1,70709,
United Kingdom,2032,  70 927,1,70927,
United Kingdom,2033,  71 140,1,71140,
United Kingdom,2034,  71 347,1,71347,
United Kingdom,2035,  71 549,1,71549,
United Kingdom,2036,  71 745,1,71745,
United Kingdom,2037,  71 936,1,71936,
United Kingdom,2038,  72 123,1,72123,
United Kingdom,2039,  72 306,1,72306,
United Kingdom,2040,  72 487,1,72487,
United Kingdom,2041,  72 665,1,72665,
United Kingdom,2042,  72 841,1,72841,
United Kingdom,2043,  73 014,1,73014,
United Kingdom,2044,  73 183,1,73183,
United Kingdom,2045,  73 346,1,73346,
United Kingdom,2046,  73 505,1,73505,
United Kingdom,2047,  73 659,1,73659,
United Kingdom,2048,  73 807,1,73807,
United Kingdom,2049,  73 948,1,73948,
United Kingdom,2050,  74 082,1,74082,
United Kingdom,2051,  74 208,1,74208,
United Kingdom,2052,  74 327,1,74327,
United Kingdom,2053,  74 438,1,74438,
United Kingdom,2054,  74 543,1,74543,
United Kingdom,2055,  74 642,1,74642,
United Kingdom,2056,  74 734,1,74734,
United Kingdom,2057,  74 822,1,74822,
United Kingdom,2058,  74 904,1,74904,
United Kingdom,2059,  74 984,1,74984,
United Kingdom,2060,  75 060,1,75060,
United Kingdom,2061,  75 135,1,75135,
United Kingdom,2062,  75 209,1,75209,
United Kingdom,2063,  75 281,1,75281,
United Kingdom,2064,  75 354,1,75354,
United Kingdom,2065,  75 428,1,75428,
United Kingdom,2066,  75 504,1,75504,
United Kingdom,2067,  75 581,1,75581,
United Kingdom,2068,  75 659,1,75659,
United Kingdom,2069,  75 737,1,75737,
United Kingdom,2070,  75 815,1,75815,
United Kingdom,2071,  75 893,1,75893,
United Kingdom,2072,  75 970,1,75970,
United Kingdom,2073,  76 046,1,76046,
United Kingdom,2074,  76 122,1,76122,
United Kingdom,2075,  76 195,1,76195,
United Kingdom,2076,  76 266,1,76266,
United Kingdom,2077,  76 335,1,76335,
United Kingdom,2078,  76 403,1,76403,
United Kingdom,2079,  76 469,1,76469,
United Kingdom,2080,  76 535,1,76535,
United Kingdom,2081,  76 599,1,76599,
United Kingdom,2082,  76 663,1,76663,
United Kingdom,2083,  76 727,1,76727,
United Kingdom,2084,  76 792,1,76792,
United Kingdom,2085,  76 859,1,76859,
United Kingdom,2086,  76 927,1,76927,
United Kingdom,2087,  76 997,1,76997,
United Kingdom,2088,  77 069,1,77069,
United Kingdom,2089,  77 144,1,77144,
United Kingdom,2090,  77 220,1,77220,
United Kingdom,2091,  77 299,1,77299,
United Kingdom,2092,  77 379,1,77379,
United Kingdom,2093,  77 461,1,77461,
United Kingdom,2094,  77 545,1,77545,
United Kingdom,2095,  77 630,1,77630,
United Kingdom,2096,  77 715,1,77715,
United Kingdom,2097,  77 801,1,77801,
United Kingdom,2098,  77 886,1,77886,
United Kingdom,2099,  77 971,1,77971,
United Kingdom,2100,  78 053,1,78053,
