Country,Year,GHG,CHGHG
Austria,2008,84059780,100
Austria,2009,77812961,92.56859939
Austria,2010,81909453,97.44190741
Austria,2011,81023149,96.38753397
Austria,2012,77471729,92.16265972
Austria,2013,76315264,90.78689476
Austria,2014,73295553,87.19455725
Austria,2015,74250464,88.33054762
Austria,2016,74469782,88.5914548
Austria,2017,78126363,92.94143168
Austria,2018,75001681,89.22421757
Austria,2019,76700617,91.24532208
Belgium,2008,141664955,100
Belgium,2009,129497198,91.41089128
Belgium,2010,137619472,97.14433044
Belgium,2011,126791888,89.50123762
Belgium,2012,124024274,87.54760413
Belgium,2013,123032374,86.84743097
Belgium,2014,117322064,82.81657521
Belgium,2015,122058844,86.16022502
Belgium,2016,121149264,85.51816079
Belgium,2017,120465656,85.03560814
Belgium,2018,120222244,84.86378582
Belgium,2019,120782178,85.25903813
Czech Republic,2008,136397136,100
Czech Republic,2009,127336450,93.35712885
Czech Republic,2010,131053449,96.08225865
Czech Republic,2011,128134309,93.94208175
Czech Republic,2012,125713460,92.1672285
Czech Republic,2013,119323758,87.48259788
Czech Republic,2014,117606946,86.22391162
Czech Republic,2015,116890208,85.69843285
Czech Republic,2016,120888461,88.62976492
Czech Republic,2017,119715064,87.76948513
Czech Republic,2018,120580233,88.40378657
Czech Republic,2019,122455669,89.77876852
Switzerland,2008,57441781,100
Switzerland,2009,55829259,97.19277158
Switzerland,2010,57468263,100.0461023
Switzerland,2011,54225434,94.40068371
Switzerland,2012,55870444,97.26447026
Switzerland,2013,56823895,98.92432653
Switzerland,2014,53221657,92.65321526
Switzerland,2015,53560582,93.24324745
Switzerland,2016,54075510,94.13968205
Switzerland,2017,53142797,92.51592843
Finland,2008,75465125,100
Finland,2009,71849911,95.20942422
Finland,2010,80011536,106.0245193
Finland,2011,71749068,95.07579561
Finland,2012,66076027,87.55836156
Finland,2013,66583980,88.23145791
Finland,2014,62180199,82.39593985
Finland,2015,58892054,78.03876824
Finland,2016,62193642,82.41375337
Finland,2017,59223292,78.47769682
Finland,2018,60296479,79.89979345
Finland,2019,56726936,75.16973701
France,2008,538928290,100
France,2009,518238141,96.16087161
France,2010,524300034,97.28567673
France,2011,496528792,92.13262714
France,2012,496625949,92.15065496
France,2013,496795769,92.18216565
France,2014,464883941,86.26081607
France,2015,468770274,86.98193854
France,2016,469089190,87.04111451
France,2017,473289938,87.82057776
France,2018,454931651,84.41413439
France,2019,450379434,83.56945485
Spain,2008,420252894,100
Spain,2009,379642602,90.33670141
Spain,2010,364844057,86.81535861
Spain,2011,363967836,86.60686011
Spain,2012,356696667,84.87667119
Spain,2013,330498064,78.64266224
Spain,2014,333666880,79.39668822
Spain,2015,345583828,82.23234936
Spain,2016,334907265,79.69184027
Spain,2017,348537334,82.93514191
Spain,2018,342770655,81.56294933
Spain,2019,323221590,76.91121099
Germany,2008,1048206552,100
Germany,2009,973013599,92.82651374
Germany,2010,1007809513,96.14608028
Germany,2011,980761266,93.56564926
Germany,2012,990566135,94.50104401
Germany,2013,1006322122,96.00418163
Germany,2014,964417713,92.00645723
Germany,2015,970757697,92.61129833
Germany,2016,975206256,93.03569551
Germany,2017,945537122,90.20522913
Germany,2018,913484765,87.14740079
Germany,2019,853687202,81.44265082
Denmark,2008,110007947,100
Denmark,2009,103056047,93.68054746
Denmark,2010,101276919,92.06327521
Denmark,2011,98894665,89.89774621
Denmark,2012,92231019,83.84032383
Denmark,2013,90034755,81.84386443
Denmark,2014,84749449,77.03938789
Denmark,2015,84800514,77.08580726
Denmark,2016,87878123,79.88343151
Denmark,2017,87208901,79.27509183
Denmark,2018,89577905,81.42857625
Denmark,2019,87043665,79.12488813
Ireland,2008,68313972,100
Ireland,2009,61415798,89.90225016
Ireland,2010,60746118,88.92195289
Ireland,2011,56597348,82.84886143
Ireland,2012,57185711,83.71012448
Ireland,2013,66790345,97.76967002
Ireland,2014,66709743,97.65168244
Ireland,2015,69041383,101.0648056
Ireland,2016,74040778,108.3830669
Ireland,2017,76270074,111.6463759
Ireland,2018,77386770,113.2810284
Ireland,2019,75876910,111.0708509
Greece,2008,131846178,100
Greece,2009,124640287,94.53462276
Greece,2010,118522289,89.89436842
Greece,2011,115593537,87.67302834
Greece,2012,112326945,85.19545026
Greece,2013,102704932,77.89754209
Greece,2014,99276982,75.29758049
Greece,2015,95481830,72.419111
Greece,2016,91839484,69.6565387
Greece,2017,95585805,72.49797184
Greece,2018,92221672,69.94641286
Greece,2019,85184925,64.60932451
United Kingdom,2008,711052512,100
United Kingdom,2009,650469685,91.47983785
United Kingdom,2010,665011553,93.52495656
United Kingdom,2011,621451651,87.39884052
United Kingdom,2012,633291421,89.06394539
United Kingdom,2013,616855274,86.75242174
United Kingdom,2014,579468444,81.49446549
United Kingdom,2015,563735385,79.28182173
United Kingdom,2016,538131303,75.68095097
United Kingdom,2017,522155111,73.43411382
United Kingdom,2018,517077279,72.71998485
United Kingdom,2019,501503861,70.52979246
Hungary,2008,73311161,100
Hungary,2009,67518680,92.09877334
Hungary,2010,67804287,92.48835522
Hungary,2011,66391883,90.56176726
Hungary,2012,62506531,85.26195759
Hungary,2013,60077797,81.94904593
Hungary,2014,61104508,83.34952982
Hungary,2015,64819189,88.41653592
Hungary,2016,64675796,88.22094087
Hungary,2017,66796042,91.11305985
Hungary,2018,65910033,89.90450035
Hungary,2019,65678840,89.58914182
Italy,2008,579026234,100
Italy,2009,517639214,89.39823165
Italy,2010,528383800,91.25386191
Italy,2011,517344238,89.34728819
Italy,2012,496452901,85.73927602
Italy,2013,459631946,79.38015914
Italy,2014,438494834,75.7297007
Italy,2015,452915886,78.22027041
Italy,2016,449625790,77.65205851
Italy,2017,449095041,77.56039617
Italy,2018,443229031,76.54731426
Italy,2019,431112019,74.45466089
Norway,2008,65823625,100
Norway,2009,62042042,94.25497608
Norway,2010,65714354,99.83399425
Norway,2011,70415385,106.975854
Norway,2012,69965599,106.292534
Norway,2013,69810430,106.0567995
Norway,2014,68440928,103.9762365
Norway,2015,65974748,100.2295878
Norway,2016,72643276,110.3604914
Norway,2017,75027472,113.9825891
Norway,2018,74710483,113.5010158
Netherlands,2008,226869314,100
Netherlands,2009,220319217,97.11283254
Netherlands,2010,231325056,101.9640126
Netherlands,2011,217904259,96.04836157
Netherlands,2012,215693630,95.07395522
Netherlands,2013,215937061,95.18125532
Netherlands,2014,210098484,92.60771336
Netherlands,2015,217709201,95.96238344
Netherlands,2016,215605797,95.03523998
Netherlands,2017,212997340,93.88547805
Netherlands,2018,207582117,91.49854308
Netherlands,2019,202971092,89.46608443
Slovak Republic,2008,49935387,100
Slovak Republic,2009,45653721,91.42558763
Slovak Republic,2010,46405535,92.93116122
Slovak Republic,2011,45704008,91.52629177
Slovak Republic,2012,43185817,86.48339303
Slovak Republic,2013,42855648,85.8222006
Slovak Republic,2014,40791616,81.68879516
Slovak Republic,2015,41830675,83.76960211
Slovak Republic,2016,42316788,84.7430861
Slovak Republic,2017,43475291,87.06309015
Slovak Republic,2018,43348350,86.80887964
Slovak Republic,2019,41681468,83.47080198
Sweden,2008,68795043,100
Sweden,2009,64044438,93.09455334
Sweden,2010,69630168,101.2139319
Sweden,2011,63413909,92.17802073
Sweden,2012,60428356,87.83824148
Sweden,2013,59302992,86.20242014
Sweden,2014,58399109,84.88854204
Sweden,2015,60085575,87.33997739
Sweden,2016,59571027,86.59203396
Sweden,2017,57916137,84.18649727
Sweden,2018,57177563,83.1129112
Sweden,2019,55450556,80.60254574
Portugal,2008,77457691,100
Portugal,2009,73616648,95.04110831
Portugal,2010,68994786,89.07415792
Portugal,2011,67595023,87.26702556
Portugal,2012,65993955,85.20000293
Portugal,2013,63989872,82.6126769
Portugal,2014,64020101,82.65170337
Portugal,2015,67944946,87.71878573
Portugal,2016,65851713,85.01636461
Portugal,2017,70074056,90.46752504
Portugal,2018,66890933,86.35802609
Portugal,2019,62903482,81.21011766
